sex,age,experience,managing,degree,web,back,web_mobile,ios,android,human,salary
0.0,28.5,4.0,0.0,3.5,1.0,1.0,1.0,1.0,1.0,1,29000.0
0.0,28.5,0.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,17588.0
0.0,25.0,2.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,23522.4
0.0,25.0,5.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,41000.0
0.0,22.0,3.0,1.0,3.5,0.0,1.0,0.0,0.0,0.0,1,28000.0
0.0,22.0,3.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,29000.0
0.0,25.0,2.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,1,17000.0
0.0,28.5,3.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,33000.0
0.0,25.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,40000.0
0.0,22.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,16000.0
0.0,35.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,44000.0
0.0,28.5,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,60000.0
1.0,35.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,48000.0
0.0,32.0,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,50200.0
0.0,43.0,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,45000.0
0.0,35.5,15.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,60000.0
1.0,28.5,5.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,22000.0
0.0,25.0,2.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,42000.0
0.0,32.0,6.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,60000.0
0.0,25.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,15000.0
0.0,19.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,12000.0
0.0,38.5,6.0,0.0,3.5,1.0,1.0,1.0,1.0,1.0,1,36000.0
1.0,22.0,2.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,28000.0
0.0,25.0,4.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,40000.0
0.0,35.5,9.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,55000.0
1.0,32.0,15.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,75800.0
0.0,35.5,7.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,45000.0
0.0,38.5,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,100000.0
0.0,43.0,15.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1,47500.0
0.0,43.0,15.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,1,65000.0
0.0,43.0,15.0,1.0,3.5,1.0,1.0,1.0,1.0,1.0,1,77000.0
0.0,19.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1,19227.0
1.0,32.0,15.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,30000.0
0.0,22.0,0.0,0.0,3.5,0.0,1.0,0.0,0.0,0.0,1,20000.0
0.0,43.0,15.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1,60000.0
1.0,32.0,7.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,45000.0
0.0,25.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,58000.0
0.0,38.5,15.0,1.0,4.5,0.0,1.0,0.0,0.0,0.0,1,48000.0
0.0,32.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1,33000.0
